Reach,Plays,Likes,Comments,Shares,Saves,Duration,Caption,Hashtags,Post Day,Audio
384,394,25,0,0,0,16,🐴🐴🐴,"#moto #dirtbike #motocross #supercross
#promotocross #mxgp #honda #crf450 #yamaha
#kawasaki #ktm #offroad #trailriding #actionsports
#motorcycle #motolife #leatt",Friday,
236,262,25,1,0,0,91,🚀🚀🚀,"#moto #dirtbike #motocross #supercross
#promotocross #mxgp #honda #crf450 #yamaha
#kawasaki #ktm #offroad #trailriding #actionsports
#motorcycle #motolife #leatt",Thursday,
529,637,71,4,15,1,91,Some old video of me trying to keep up with a @sportbiketracktime coach on my POS pit bike at barber small bore fest,"#sportbikes #ninja400 #kawasaki #kawasakininja #zx6r
#bikelife #moto #motolife #supermoto
#ZX10r #ZX4r
#motoamerica #bsb
#nortonmotorsports #bludlubricants
#actionsportscanopies #ascathlete #gopro #gopromax
#goprohero #tracklife #trackdays #motorcycle #wsbk
#motogp #moto2 #moto3
#motorcycles #hookit #roadracing",Tuesday,
4332,4502,769,2,4,14,6,🏍💨💨,"#moto #dirtbike #motocross #supercross
#promotocross #mxgp #honda #crf450 #yamaha
#kawasaki #ktm #offroad #trailriding #actionsports
#motorcycle #motolife #leatt",Monday,
517,538,35,5,1,1,38,Love this section of track 🥵,"#moto #dirtbike #motocross #supercross
#promotocross #mxgp #honda #crf450 #yamaha
#kawasaki #ktm #offroad #trailriding #actionsports
#motorcycle #motolife #leatt",Friday,
352,353,47,1,0,1,9,🚀🚀🚀,"#moto #dirtbike #motocross #supercross
#promotocross #mxgp #honda #crf450 #yamaha
#kawasaki #ktm #offroad #trailriding #actionsports
#motorcycle #motolife #leatt",Thursday,
299,332,22,0,0,0,11,3…2….1…….. takeoff ✈️,"#moto #dirtbike #motocross #supercross
#promotocross #mxgp #honda #crf450 #yamaha
#kawasaki #ktm #offroad #trailriding #actionsports
#motorcycle #motolife #leatt #mx #mxlife #dirtbikes",Tuesday,
404,429,27,0,0,0,16,Mondays 😓,"#moto #dirtbike #motocross #supercross
#promotocross #mxgp #honda #crf450 #yamaha
#kawasaki #ktm #offroad #trailriding #actionsports
#motorcycle #motolife #leatt",Monday,
5081,5098,664,2,0,16,8,🏍💨💨💨,"#moto #dirtbike #motocross #supercross
#promotocross #mxgp #honda #crf450 #yamaha
#kawasaki #ktm #offroad #trailriding #actionsports
#motorcycle #motolife #leatt",Sunday,
535,562,41,0,0,0,17,Images that play thru my head when I’m not riding 💭💭,"#moto #dirtbike #motocross #supercross
#promotocross #mxgp #honda #crf450 #yamaha
#kawasaki #ktm #offroad #trailriding #actionsports
#motorcycle #motolife #leatt",Saturday,
